#SYMBOL,SYSTEM,MOMENT,ID_DEAL,PRICE_DEAL,VOLUME,OPEN_POS,DIRECTION
RNH1,F,20110111100034470,255224208,22143.00000,1,23550,B
LKH1,F,20110111100034503,255224209,17687.00000,43,79666,B
LKH1,F,20110111100034503,255224210,17693.00000,4,79666,B
LKH1,F,20110111100034503,255224211,17693.00000,15,79666,B
LKH1,F,20110111100034503,255224212,17700.00000,5,79666,B
GMH1,F,20110111100034690,255224213,71500.00000,1,15734,B
RIH1,F,20110111100034707,255224214,178715.00000,1,292534,S
RIH1,F,20110111100034813,255224215,178710.00000,1,292536,S
SRH1,F,20110111100034923,255224216,10613.00000,5,649022,S
LKH1,F,20110111100034970,255224217,17721.00000,1,79664,B
RIH1,F,20110111100035063,255224218,178740.00000,1,292536,B
GZH1,F,20110111100035173,255224219,19646.00000,1,352504,B
GZH1,F,20110111100035173,255224220,19646.00000,1,352504,B
SRH1,F,20110111100035173,255224221,10613.00000,5,649022,S
RIH1,F,20110111100035190,255224222,178735.00000,3,292536,B
RIH1,F,20110111100035237,255224223,178735.00000,3,292542,B
LKH1,F,20110111100035470,255224225,17720.00000,1,79662,B
RIH1,F,20110111100035597,255224226,178730.00000,1,292544,B
SiH1,F,20110111100035643,255224227,30726.00000,15,678088,S
SiH1,F,20110111100035643,255224228,30726.00000,9,678088,S
SiH1,F,20110111100035643,255224229,30725.00000,1,678088,S
RIH1,F,20110111100035643,255224230,178715.00000,1,292544,S
RIH1,F,20110111100035643,255224231,178715.00000,1,292544,S
SiH1,F,20110111100035970,255224232,30725.00000,6,678100,S
RIH1,F,20110111100035970,255224233,178730.00000,5,292554,B
RIH1,F,20110111100035970,255224234,178735.00000,5,292554,B
RIH1,F,20110111100036330,255224235,178715.00000,1,292540,S
RIH1,F,20110111100036330,255224236,178715.00000,1,292540,S
RIH1,F,20110111100036330,255224237,178715.00000,5,292540,S
SRH1,F,20110111100036377,255224238,10608.00000,20,649014,S
LKH1,F,20110111100036720,255224239,17707.00000,7,79648,S
SiH1,F,20110111100036783,255224240,30725.00000,6,678100,S
SiH1,F,20110111100036783,255224241,30712.00000,1,678100,S
LKH1,F,20110111100036860,255224242,17707.00000,1,79646,S
RIH1,F,20110111100036877,255224243,178730.00000,1,292540,S
SRH1,F,20110111100037253,255224244,10613.00000,1,649016,B
BRF1,F,20110111100037267,255224245,95.02000,12,60382,S
EuH1,F,20110111100037313,255224246,39850.00000,10,124414,S
EDH1,F,20110111100037347,255224247,1.29600,10,142558,B
SiH1,F,20110111100037360,255224248,30734.00000,13,678100,B
LKH1,F,20110111100037457,255224250,17708.00000,1,79638,S
LKH1,F,20110111100037457,255224251,17707.00000,4,79638,S
RIH1,F,20110111100037470,255224252,178740.00000,1,292552,B
RIH1,F,20110111100037470,255224253,178745.00000,1,292552,B
RIH1,F,20110111100037470,255224254,178755.00000,1,292552,B
RIH1,F,20110111100037470,255224255,178755.00000,1,292552,B
RIH1,F,20110111100037470,255224256,178755.00000,2,292552,B
LKH1,F,20110111100037470,255224257,17707.00000,5,79632,S
LKH1,F,20110111100037470,255224258,17707.00000,5,79632,S
LKH1,F,20110111100037470,255224259,17707.00000,5,79632,S
RIH1,F,20110111100037563,255224260,178745.00000,1,292552,S
RIH1,F,20110111100037580,255224261,178745.00000,3,292556,S
SRH1,F,20110111100037657,255224262,10613.00000,3,649016,B
RIH1,F,20110111100037707,255224263,178745.00000,1,292558,S
SRH1,F,20110111100038047,255224264,10607.00000,1,649024,S
SRH1,F,20110111100038047,255224265,10606.00000,1,649024,S
SRH1,F,20110111100038047,255224266,10606.00000,4,649024,S
SRH1,F,20110111100038047,255224267,10604.00000,14,649024,S
RIH1,F,20110111100038143,255224268,178725.00000,1,292556,S
